datasetID,dimensions
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2014,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2015,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2015,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2015,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2016,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2016,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2016,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2018,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2018,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2018,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2019,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2019,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2019,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2021,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2021,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2021,stationname_strlen
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2024,timeseries
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2024,obs
Emso_Western_Ligurian_Albatross_Microcat_NetCDF_2024,stationname_strlen
Emso_Western_Ligurian_MII_Oxygen_NetCDF_2017,timeseries
Emso_Western_Ligurian_MII_Oxygen_NetCDF_2017,obs
Emso_Western_Ligurian_MII_Oxygen_NetCDF_2017,stationname_strlen
EMSO-AZORES_SBE53_East_2016_2017,timeseries
EMSO-AZORES_SBE53_East_2016_2017,obs
EMSO-AZORES_SBE53_West_2016_2017,timeseries
EMSO-AZORES_SBE53_West_2016_2017,obs
EMSO-AZORES_SBE53_East_2018_2019,timeseries
EMSO-AZORES_SBE53_East_2018_2019,obs
EMSO-AZORES_SBE53_West_2018_2019,timeseries
EMSO-AZORES_SBE53_West_2018_2019,obs
EMSO-AZORES_SBE53_East_2019_2020,timeseries
EMSO-AZORES_SBE53_East_2019_2020,obs
EMSO-AZORES_SBE53_West_2019_2020,timeseries
EMSO-AZORES_SBE53_West_2019_2020,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2010-2011,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2010-2011,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2011-2012,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2011-2012,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2012-2013,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2012-2013,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2013-2014,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2013-2014,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2014-2015,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2014-2015,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2015-2016,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2015-2016,obs
EMSO-AZORES_Borel_Meteo-Unit-1_2016-2017,timeseries
EMSO-AZORES_Borel_Meteo-Unit-1_2016-2017,obs
EMSO-AZORES_Borel_Meteo-Unit-2_2016-2017,timeseries
EMSO-AZORES_Borel_Meteo-Unit-2_2016-2017,obs
EMSO-AZORES_EGIM_TEMP-CNDC-PRES_2017-2018,timeseries
EMSO-AZORES_EGIM_TEMP-CNDC-PRES_2017-2018,obs
EMSO-AZORES_EGIM_Precise-Pressure_2017-2018,timeseries
EMSO-AZORES_EGIM_Precise-Pressure_2017-2018,obs
EMSO-AZORES_EGIM_Optode-O2_2017-2018,timeseries
EMSO-AZORES_EGIM_Optode-O2_2017-2018,obs
EMSO-AZORES_EGIM_Turbidity_2017-2018,timeseries
EMSO-AZORES_EGIM_Turbidity_2017-2018,obs
EMSO-AZORES_CHEMINI_Total-Iron_2011-2012,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2011-2012,obs
EMSO-AZORES_CHEMINI_Total-Iron_2013-2014,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2013-2014,obs
EMSO-AZORES_CHEMINI_Total-Iron_2014-2015,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2014-2015,obs
EMSO-AZORES_CHEMINI_Total-Iron_2016-2017,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2016-2017,obs
EMSO-AZORES_CHEMINI_Total-Iron_2017-2018,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2017-2018,obs
EMSO-AZORES_CHEMINI_Total-Iron_2018-2019,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2018-2019,obs
EMSO-AZORES_CHEMINI_Total-Iron_2019-2020,timeseries
EMSO-AZORES_CHEMINI_Total-Iron_2019-2020,obs
EMSO-AZORES_Seamon-East_Optode-O2_2013-2014,timeseries
EMSO-AZORES_Seamon-East_Optode-O2_2013-2014,obs
