Property,Count,Types,Example
configurations.missionCycles.305,142,list,['305']
configurations.missionCycles.316,103,list,['316']
configurations.missionCycles.317,99,list,['317']
configurations.missionCycles.318,102,list,['318']
configurations.missionCycles.319,99,list,['319']
configurations.missionCycles.320,100,list,['320']
configurations.missionCycles.321,96,list,['321']
configurations.missionCycles.322,94,list,['322']
configurations.missionCycles.323,88,list,['323']
configurations.missionCycles.324,86,list,['324']
configurations.missionCycles.325,82,list,['325']
configurations.missionCycles.326,68,list,['326']
configurations.missionCycles.327,65,list,['327']
configurations.missionCycles.328,63,list,['328']
configurations.missionCycles.329,58,list,['329']
configurations.missionCycles.330,57,list,['330']
configurations.missionCycles.331,56,list,['331']
configurations.missionCycles.332,56,list,['332']
configurations.missionCycles.333,55,list,['333']
configurations.missionCycles.334,52,list,['334']
configurations.missionCycles.335,52,list,['335']
configurations.missionCycles.336,54,list,['336']
configurations.missionCycles.337,51,list,['337']
configurations.missionCycles.338,50,list,['338']
configurations.missionCycles.339,50,list,['339']
configurations.missionCycles.340,48,list,['340']
configurations.missionCycles.341,47,list,['341']
configurations.missionCycles.342,44,list,['342']
configurations.missionCycles.343,43,list,['343']
configurations.missionCycles.344,44,list,['344']
configurations.missionCycles.345,43,list,['345']
configurations.missionCycles.346,45,list,['346']
configurations.missionCycles.347,43,list,['347']
configurations.missionCycles.348,40,list,['348']
configurations.missionCycles.349,39,list,['349']
configurations.missionCycles.370,31,list,['370']
configurations.missionCycles.371,29,list,['371']
configurations.missionCycles.372,30,list,['372']
configurations.missionCycles.373,28,list,['373']
configurations.missionCycles.374,29,list,['374']
configurations.missionCycles.375,27,list,['375']
configurations.missionCycles.376,27,list,['376']
configurations.missionCycles.378,25,list,['378']
configurations.missionCycles.379,26,list,['379']
configurations.missionCycles.380,25,list,['380']
configurations.missionCycles.381,25,list,['381']
configurations.missionCycles.382,24,list,['382']
configurations.missionCycles.383,23,list,['383']
configurations.missionCycles.377,24,list,['377']
configurations.missionCycles.500,9,list,['500']
configurations.missionCycles.501,9,list,['501']
configurations.missionCycles.502,9,list,['502']
configurations.missionCycles.503,9,list,['503']
configurations.missionCycles.504,9,list,['504']
configurations.missionCycles.505,9,list,['505']
configurations.missionCycles.506,9,list,['506']
configurations.missionCycles.507,9,list,['507']
configurations.missionCycles.508,9,list,['508']
configurations.missionCycles.509,9,list,['509']
configurations.missionCycles.510,9,list,['510']
configurations.missionCycles.511,9,list,['511']
configurations.missionCycles.512,9,list,['512']
configurations.missionCycles.513,9,list,['513']
configurations.missionCycles.514,9,list,['514']
configurations.missionCycles.515,9,list,['515']
configurations.missionCycles.516,9,list,['516']
configurations.missionCycles.517,9,list,['517']
configurations.missionCycles.518,9,list,['518']
configurations.missionCycles.519,9,list,['519']
configurations.missionCycles.520,9,list,['520']
configurations.missionCycles.400,17,list,['400']
configurations.missionCycles.521,9,list,['521']
configurations.missionCycles.401,17,list,['401']
configurations.missionCycles.522,9,list,['522']
configurations.missionCycles.402,17,list,['402']
configurations.missionCycles.523,9,list,['523']
configurations.missionCycles.403,17,list,['403']
configurations.missionCycles.524,9,list,['524']
configurations.missionCycles.404,17,list,['404']
configurations.missionCycles.525,9,list,['525']
configurations.missionCycles.405,17,list,['405']
configurations.missionCycles.526,9,list,['526']
configurations.missionCycles.406,16,list,['406']
configurations.missionCycles.527,9,list,['527']
configurations.missionCycles.407,15,list,['407']
configurations.missionCycles.528,9,list,['528']
configurations.missionCycles.408,14,list,['408']
configurations.missionCycles.529,8,list,['529']
configurations.missionCycles.409,15,list,['409']
configurations.missionCycles.530,8,list,['530']
configurations.missionCycles.410,15,list,['410']
configurations.missionCycles.531,7,list,['531']
configurations.missionCycles.411,15,list,['411']
configurations.missionCycles.532,8,list,['532']
configurations.missionCycles.412,14,list,['412']
configurations.missionCycles.533,8,list,['533']
configurations.missionCycles.413,14,list,['413']
configurations.missionCycles.534,8,list,['534']
configurations.missionCycles.414,14,list,['414']
configurations.missionCycles.535,8,list,['535']
configurations.missionCycles.415,14,list,['415']
configurations.missionCycles.536,8,list,['536']
configurations.missionCycles.416,13,list,['416']
configurations.missionCycles.537,8,list,['537']
configurations.missionCycles.417,13,list,['417']
configurations.missionCycles.538,8,list,['538']
configurations.missionCycles.418,14,list,['418']
configurations.missionCycles.539,8,list,['539']
configurations.missionCycles.419,14,list,['419']
configurations.missionCycles.540,8,list,['540']
configurations.missionCycles.420,13,list,['420']
configurations.missionCycles.541,7,list,['541']
configurations.missionCycles.421,13,list,['421']
configurations.missionCycles.542,7,list,['542']
configurations.missionCycles.422,13,list,['422']
configurations.missionCycles.543,7,list,['543']
configurations.missionCycles.423,13,list,['423']
configurations.missionCycles.544,7,list,['544']
configurations.missionCycles.424,12,list,['424']
configurations.missionCycles.545,7,list,['545']
configurations.missionCycles.425,12,list,['425']
configurations.missionCycles.546,7,list,['546']
configurations.missionCycles.426,12,list,['426']
configurations.missionCycles.547,7,list,['547']
configurations.missionCycles.427,11,list,['427']
configurations.missionCycles.548,7,list,['548']
configurations.missionCycles.428,11,list,['428']
configurations.missionCycles.549,7,list,['549']
configurations.missionCycles.429,11,list,['429']
configurations.missionCycles.550,7,list,['550']
configurations.missionCycles.430,11,list,['430']
configurations.missionCycles.551,7,list,['551']
configurations.missionCycles.431,11,list,['431']
configurations.missionCycles.552,7,list,['552']
configurations.missionCycles.432,11,list,['432']
configurations.missionCycles.553,7,list,['553']
configurations.missionCycles.433,11,list,['433']
configurations.missionCycles.554,7,list,['554']
configurations.missionCycles.434,11,list,['434']
configurations.missionCycles.555,7,list,['555']
configurations.missionCycles.435,11,list,['435']
configurations.missionCycles.556,7,list,['556']
configurations.missionCycles.436,11,list,['436']
configurations.missionCycles.557,7,list,['557']
configurations.missionCycles.437,11,list,['437']
configurations.missionCycles.558,7,list,['558']
configurations.missionCycles.438,11,list,['438']
configurations.missionCycles.559,7,list,['559']
configurations.missionCycles.439,11,list,['439']
configurations.missionCycles.560,7,list,['560']
configurations.missionCycles.440,11,list,['440']
configurations.missionCycles.561,7,list,['561']
configurations.missionCycles.441,11,list,['441']
configurations.missionCycles.562,7,list,['562']
configurations.missionCycles.442,11,list,['442']
configurations.missionCycles.563,7,list,['563']
configurations.missionCycles.443,11,list,['443']
configurations.missionCycles.564,7,list,['564']
configurations.missionCycles.444,11,list,['444']
configurations.missionCycles.565,7,list,['565']
configurations.missionCycles.445,11,list,['445']
configurations.missionCycles.566,7,list,['566']
configurations.missionCycles.446,11,list,['446']
configurations.missionCycles.567,7,list,['567']
configurations.missionCycles.447,11,list,['447']
configurations.missionCycles.568,7,list,['568']
configurations.missionCycles.448,11,list,['448']
configurations.missionCycles.569,6,list,['569']
configurations.missionCycles.449,11,list,['449']
configurations.missionCycles.570,7,list,['570']
configurations.missionCycles.450,11,list,['450']
configurations.missionCycles.571,7,list,['571']
configurations.missionCycles.451,11,list,['451']
configurations.missionCycles.572,7,list,['572']
configurations.missionCycles.452,11,list,['452']
configurations.missionCycles.573,7,list,['573']
configurations.missionCycles.453,11,list,['453']
configurations.missionCycles.574,7,list,['574']
configurations.missionCycles.454,11,list,['454']
configurations.missionCycles.575,7,list,['575']
configurations.missionCycles.455,11,list,['455']
configurations.missionCycles.576,7,list,['576']
configurations.missionCycles.456,11,list,['456']
configurations.missionCycles.577,7,list,['577']
configurations.missionCycles.457,11,list,['457']
configurations.missionCycles.578,7,list,['578']
configurations.missionCycles.458,11,list,['458']
configurations.missionCycles.579,7,list,['579']
configurations.missionCycles.459,11,list,['459']
configurations.missionCycles.580,7,list,['580']
configurations.missionCycles.460,11,list,['460']
configurations.missionCycles.581,7,list,['581']
configurations.missionCycles.461,11,list,['461']
configurations.missionCycles.582,7,list,['582']
configurations.missionCycles.462,11,list,['462']
configurations.missionCycles.583,7,list,['583']
configurations.missionCycles.463,11,list,['463']
configurations.missionCycles.584,7,list,['584']
configurations.missionCycles.464,11,list,['464']
configurations.missionCycles.585,7,list,['585']
configurations.missionCycles.465,11,list,['465']
configurations.missionCycles.586,7,list,['586']
configurations.missionCycles.466,11,list,['466']
configurations.missionCycles.587,7,list,['587']
configurations.missionCycles.467,11,list,['467']
configurations.missionCycles.588,7,list,['588']
configurations.missionCycles.468,11,list,['468']
configurations.missionCycles.469,11,list,['469']
configurations.missionCycles.470,11,list,['470']
configurations.missionCycles.471,11,list,['471']
configurations.missionCycles.472,11,list,['472']
configurations.missionCycles.473,11,list,['473']
configurations.missionCycles.474,11,list,['474']
configurations.missionCycles.475,11,list,['475']
configurations.missionCycles.476,10,list,['476']
configurations.missionCycles.477,11,list,['477']
configurations.missionCycles.478,11,list,['478']
configurations.missionCycles.479,11,list,['479']
configurations.missionCycles.480,11,list,['480']
configurations.missionCycles.481,11,list,['481']
configurations.missionCycles.482,11,list,['482']
configurations.missionCycles.483,11,list,['483']
configurations.missionCycles.484,11,list,['484']
configurations.missionCycles.485,10,list,['485']
configurations.missionCycles.486,10,list,['486']
configurations.missionCycles.487,10,list,['487']
configurations.missionCycles.488,10,list,['488']
configurations.missionCycles.489,9,list,['489']
configurations.missionCycles.490,9,list,['490']
configurations.missionCycles.491,9,list,['491']
configurations.missionCycles.492,9,list,['492']
configurations.missionCycles.493,9,list,['493']
configurations.missionCycles.494,9,list,['494']
configurations.missionCycles.495,9,list,['495']
configurations.missionCycles.496,9,list,['496']
configurations.missionCycles.497,9,list,['497']
configurations.missionCycles.498,9,list,['498']
configurations.missionCycles.499,9,list,['499']
configurations.missionCycles.384,23,list,['384']
configurations.missionCycles.385,20,list,['385']
configurations.missionCycles.386,20,list,['386']
configurations.missionCycles.387,19,list,['387']
configurations.missionCycles.388,18,list,['388']
configurations.missionCycles.389,17,list,['389']
configurations.missionCycles.390,17,list,['390']
configurations.missionCycles.391,17,list,['391']
configurations.missionCycles.392,17,list,['392']
configurations.missionCycles.393,17,list,['393']
configurations.missionCycles.394,17,list,['394']
configurations.missionCycles.395,17,list,['395']
configurations.missionCycles.396,17,list,['396']
configurations.missionCycles.397,17,list,['397']
configurations.missionCycles.398,17,list,['398']
configurations.missionCycles.399,17,list,['399']
configurations.missionCycles.800,2,list,['800']
configurations.missionCycles.801,2,list,['801']
configurations.missionCycles.802,2,list,['802']
configurations.missionCycles.600,6,list,['600']
configurations.missionCycles.601,6,list,['601']
configurations.missionCycles.602,6,list,['602']
configurations.missionCycles.603,6,list,['603']
configurations.missionCycles.604,6,list,['604']
configurations.missionCycles.605,6,list,['605']
configurations.missionCycles.606,6,list,['606']
configurations.missionCycles.607,6,list,['607']
configurations.missionCycles.608,6,list,['608']
configurations.missionCycles.609,6,list,['609']
configurations.missionCycles.610,6,list,['610']
configurations.missionCycles.611,6,list,['611']
configurations.missionCycles.612,6,list,['612']
configurations.missionCycles.613,6,list,['613']
configurations.missionCycles.614,6,list,['614']
configurations.missionCycles.615,6,list,['615']
configurations.missionCycles.616,6,list,['616']
configurations.missionCycles.617,6,list,['617']
configurations.missionCycles.618,6,list,['618']
configurations.missionCycles.619,6,list,['619']
configurations.missionCycles.620,6,list,['620']
configurations.missionCycles.621,6,list,['621']
configurations.missionCycles.622,6,list,['622']
configurations.missionCycles.623,6,list,['623']
configurations.missionCycles.624,6,list,['624']
configurations.missionCycles.625,6,list,['625']
configurations.missionCycles.626,6,list,['626']
configurations.missionCycles.627,6,list,['627']
configurations.missionCycles.628,6,list,['628']
configurations.missionCycles.629,6,list,['629']
configurations.missionCycles.630,6,list,['630']
configurations.missionCycles.631,6,list,['631']
configurations.missionCycles.632,6,list,['632']
configurations.missionCycles.633,6,list,['633']
configurations.missionCycles.634,6,list,['634']
configurations.missionCycles.635,6,list,['635']
configurations.missionCycles.636,6,list,['636']
configurations.missionCycles.637,6,list,['637']
configurations.missionCycles.638,6,list,['638']
configurations.missionCycles.639,6,list,['639']
configurations.missionCycles.640,6,list,['640']
configurations.missionCycles.641,6,list,['641']
configurations.missionCycles.642,6,list,['642']
configurations.missionCycles.643,6,list,['643']
configurations.missionCycles.644,6,list,['644']
configurations.missionCycles.645,6,list,['645']
configurations.missionCycles.646,6,list,['646']
configurations.missionCycles.647,6,list,['647']
configurations.missionCycles.648,6,list,['648']
configurations.missionCycles.649,6,list,['649']
configurations.missionCycles.650,6,list,['650']
configurations.missionCycles.651,6,list,['651']
configurations.missionCycles.652,6,list,['652']
configurations.missionCycles.653,6,list,['653']
configurations.missionCycles.654,6,list,['654']
configurations.missionCycles.655,5,list,['655']
configurations.missionCycles.656,5,list,['656']
configurations.missionCycles.657,5,list,['657']
configurations.missionCycles.658,5,list,['658']
configurations.missionCycles.659,5,list,['659']
configurations.missionCycles.660,5,list,['660']
configurations.missionCycles.661,5,list,['661']
configurations.missionCycles.662,4,list,['662']
configurations.missionCycles.663,4,list,['663']
configurations.missionCycles.664,4,list,['664']
configurations.missionCycles.665,4,list,['665']
configurations.missionCycles.666,3,list,['666']
configurations.missionCycles.667,3,list,['667']
configurations.missionCycles.668,3,list,['668']
configurations.missionCycles.669,3,list,['669']
configurations.missionCycles.670,3,list,['670']
configurations.missionCycles.671,3,list,['671']
configurations.missionCycles.672,3,list,['672']
configurations.missionCycles.673,3,list,['673']
configurations.missionCycles.674,3,list,['674']
configurations.missionCycles.675,2,list,['675']
configurations.missionCycles.676,3,list,['676']
configurations.missionCycles.677,3,list,['677']
configurations.missionCycles.678,3,list,['678']
configurations.missionCycles.679,3,list,['679']
configurations.missionCycles.680,3,list,['680']
configurations.missionCycles.681,3,list,['681']
configurations.missionCycles.682,3,list,['682']
configurations.missionCycles.683,3,list,['683']
configurations.missionCycles.684,3,list,['684']
configurations.missionCycles.685,3,list,['685']
configurations.missionCycles.686,3,list,['686']
configurations.missionCycles.687,3,list,['687']
configurations.missionCycles.688,3,list,['688']
configurations.missionCycles.689,3,list,['689']
configurations.missionCycles.690,3,list,['690']
configurations.missionCycles.691,3,list,['691']
configurations.missionCycles.692,3,list,['692']
configurations.missionCycles.693,3,list,['693']
configurations.missionCycles.694,3,list,['694']
configurations.missionCycles.695,3,list,['695']
configurations.missionCycles.696,3,list,['696']
configurations.missionCycles.697,3,list,['697']
configurations.missionCycles.698,3,list,['698']
configurations.missionCycles.699,3,list,['699']
configurations.missionCycles.700,3,list,['700']
configurations.missionCycles.701,3,list,['701']
configurations.missionCycles.702,3,list,['702']
configurations.missionCycles.703,3,list,['703']
configurations.missionCycles.704,3,list,['704']
configurations.missionCycles.705,3,list,['705']
configurations.missionCycles.706,3,list,['706']
configurations.missionCycles.707,3,list,['707']
configurations.missionCycles.708,3,list,['708']
configurations.missionCycles.709,3,list,['709']
configurations.missionCycles.710,3,list,['710']
configurations.missionCycles.711,3,list,['711']
configurations.missionCycles.712,3,list,['712']
configurations.missionCycles.713,3,list,['713']
configurations.missionCycles.714,3,list,['714']
configurations.missionCycles.715,3,list,['715']
configurations.missionCycles.716,3,list,['716']
configurations.missionCycles.717,3,list,['717']
configurations.missionCycles.718,3,list,['718']
configurations.missionCycles.719,3,list,['719']
configurations.missionCycles.720,3,list,['720']
configurations.missionCycles.721,3,list,['721']
configurations.missionCycles.722,3,list,['722']
configurations.missionCycles.723,3,list,['723']
configurations.missionCycles.724,3,list,['724']
configurations.missionCycles.725,3,list,['725']
configurations.missionCycles.726,3,list,['726']
configurations.missionCycles.727,2,list,['727']
configurations.missionCycles.728,2,list,['728']
configurations.missionCycles.729,2,list,['729']
configurations.missionCycles.730,2,list,['730']
configurations.missionCycles.731,2,list,['731']
configurations.missionCycles.732,2,list,['732']
configurations.missionCycles.733,2,list,['733']
configurations.missionCycles.734,2,list,['734']
configurations.missionCycles.735,2,list,['735']
configurations.missionCycles.736,2,list,['736']
configurations.missionCycles.737,2,list,['737']
configurations.missionCycles.738,2,list,['738']
configurations.missionCycles.739,2,list,['739']
configurations.missionCycles.740,2,list,['740']
configurations.missionCycles.741,2,list,['741']
configurations.missionCycles.742,2,list,['742']
configurations.missionCycles.743,2,list,['743']
configurations.missionCycles.744,2,list,['744']
configurations.missionCycles.745,2,list,['745']
configurations.missionCycles.746,2,list,['746']
configurations.missionCycles.747,2,list,['747']
configurations.missionCycles.748,2,list,['748']
configurations.missionCycles.749,2,list,['749']
configurations.missionCycles.750,2,list,['750']
configurations.missionCycles.751,2,list,['751']
configurations.missionCycles.752,2,list,['752']
configurations.missionCycles.753,2,list,['753']
configurations.missionCycles.754,2,list,['754']
configurations.missionCycles.755,2,list,['755']
configurations.missionCycles.756,2,list,['756']
configurations.missionCycles.757,2,list,['757']
configurations.missionCycles.758,2,list,['758']
configurations.missionCycles.759,2,list,['759']
configurations.missionCycles.760,2,list,['760']
configurations.missionCycles.761,2,list,['761']
configurations.missionCycles.762,2,list,['762']
configurations.missionCycles.763,2,list,['763']
configurations.missionCycles.764,2,list,['764']
configurations.missionCycles.765,2,list,['765']
configurations.missionCycles.766,2,list,['766']
configurations.missionCycles.767,2,list,['767']
configurations.missionCycles.768,2,list,['768']
configurations.missionCycles.769,2,list,['769']
configurations.missionCycles.770,2,list,['770']
configurations.missionCycles.771,2,list,['771']
configurations.missionCycles.772,2,list,['772']
configurations.missionCycles.773,2,list,['773']
configurations.missionCycles.774,2,list,['774']
configurations.missionCycles.775,2,list,['775']
configurations.missionCycles.776,2,list,['776']
configurations.missionCycles.777,2,list,['777']
configurations.missionCycles.778,2,list,['778']
configurations.missionCycles.779,2,list,['779']
configurations.missionCycles.780,2,list,['780']
configurations.missionCycles.781,2,list,['781']
configurations.missionCycles.782,2,list,['782']
configurations.missionCycles.783,2,list,['783']
configurations.missionCycles.784,2,list,['784']
configurations.missionCycles.785,1,list,['785']
configurations.missionCycles.786,2,list,['786']
configurations.missionCycles.787,2,list,['787']
configurations.missionCycles.788,2,list,['788']
configurations.missionCycles.789,2,list,['789']
configurations.missionCycles.790,2,list,['790']
configurations.missionCycles.791,2,list,['791']
configurations.missionCycles.792,2,list,['792']
configurations.missionCycles.793,2,list,['793']
configurations.missionCycles.794,2,list,['794']
configurations.missionCycles.795,2,list,['795']
configurations.missionCycles.796,2,list,['796']
configurations.missionCycles.797,2,list,['797']
configurations.missionCycles.798,2,list,['798']
configurations.missionCycles.799,2,list,['799']
configurations.missionCycles.589,6,list,['589']
configurations.missionCycles.590,6,list,['590']
configurations.missionCycles.591,6,list,['591']
configurations.missionCycles.592,6,list,['592']
configurations.missionCycles.593,6,list,['593']
configurations.missionCycles.594,6,list,['594']
configurations.missionCycles.595,6,list,['595']
configurations.missionCycles.596,6,list,['596']
configurations.missionCycles.597,6,list,['597']
configurations.missionCycles.598,6,list,['598']
configurations.missionCycles.599,6,list,['599']
configurations.missionCycles.-1,2,list,['0']
configurations.missionCycles.803,1,list,['803']
configurations.missionCycles.804,1,list,['804']
configurations.missionCycles.805,1,list,['805']
configurations.missionCycles.806,1,list,['806']
configurations.missionCycles.807,1,list,['807']
configurations.missionCycles.808,1,list,['808']
configurations.missionCycles.809,1,list,['809']
configurations.missionCycles.810,1,list,['810']
configurations.missionCycles.811,1,list,['811']
configurations.missionCycles.812,1,list,['812']
configurations.missionCycles.813,1,list,['813']
configurations.missionCycles.814,1,list,['814']
configurations.missionCycles.815,1,list,['815']
configurations.missionCycles.816,1,list,['816']
configurations.missionCycles.817,1,list,['817']
configurations.missionCycles.818,1,list,['818']
configurations.missionCycles.819,1,list,['819']
configurations.missionCycles.820,1,list,['820']
configurations.missionCycles.821,1,list,['821']
configurations.missionCycles.823,1,list,['823']
configurations.missionCycles.824,1,list,['824']
configurations.missionCycles.825,1,list,['825']
configurations.missionCycles.826,1,list,['826']
configurations.missionCycles.827,1,list,['827']
configurations.missionCycles.829,1,list,['829']
configurations.missionCycles.830,1,list,['830']
configurations.missionCycles.831,1,list,['831']
configurations.missionCycles.832,1,list,['832']
configurations.missionCycles.833,1,list,['833']
configurations.missionCycles.834,1,list,['834']
configurations.missionCycles.835,1,list,['835']
configurations.missionCycles.836,1,list,['836']
configurations.missionCycles.837,1,list,['837']
configurations.missionCycles.838,1,list,['838']
configurations.missionCycles.839,1,list,['839']
configurations.missionCycles.840,1,list,['840']
configurations.missionCycles.841,1,list,['841']
configurations.missionCycles.842,1,list,['842']
configurations.missionCycles.843,1,list,['843']
configurations.missionCycles.844,1,list,['844']
configurations.missionCycles.845,1,list,['845']
configurations.missionCycles.846,1,list,['846']
configurations.missionCycles.847,1,list,['847']
configurations.missionCycles.848,1,list,['848']
configurations.missionCycles.849,1,list,['849']
configurations.missionCycles.850,1,list,['850']
configurations.missionCycles.851,1,list,['851']
configurations.missionCycles.852,1,list,['852']
configurations.missionCycles.853,1,list,['853']
configurations.missionCycles.854,1,list,['854']
configurations.missionCycles.855,1,list,['855']
configurations.missionCycles.856,1,list,['856']
configurations.missionCycles.857,1,list,['857']
configurations.missionCycles.858,1,list,['858']
configurations.missionCycles.859,1,list,['859']
configurations.missionCycles.860,1,list,['860']
configurations.missionCycles.861,1,list,['861']
configurations.missionCycles.862,1,list,['862']
configurations.missionCycles.863,1,list,['863']
configurations.missionCycles.864,1,list,['864']
configurations.missionCycles.865,1,list,['865']
configurations.missionCycles.866,1,list,['866']
configurations.missionCycles.867,1,list,['867']
configurations.missionCycles.868,1,list,['868']
configurations.missionCycles.869,1,list,['869']
configurations.missionCycles.870,1,list,['870']
configurations.missionCycles.871,1,list,['871']
configurations.missionCycles.872,1,list,['872']
configurations.missionCycles.873,1,list,['873']
configurations.missionCycles.874,1,list,['874']
configurations.missionCycles.875,1,list,['875']
configurations.missionCycles.876,1,list,['876']
configurations.missionCycles.877,1,list,['877']
configurations.missionCycles.878,1,list,['878']
configurations.missionCycles.879,1,list,['879']
configurations.missionCycles.880,1,list,['880']
configurations.missionCycles.881,1,list,['881']
configurations.missionCycles.882,1,list,['882']
configurations.missionCycles.883,1,list,['883']
configurations.missionCycles.884,1,list,['884']
configurations.missionCycles.885,1,list,['885']
configurations.missionCycles.886,1,list,['886']
configurations.missionCycles.887,1,list,['887']
configurations.missionCycles.888,1,list,['888']
configurations.missionCycles.889,1,list,['889']
configurations.missionCycles.890,1,list,['890']
configurations.missionCycles.891,1,list,['891']
configurations.missionCycles.892,1,list,['892']
configurations.missionCycles.893,1,list,['893']
configurations.missionCycles.894,1,list,['894']
configurations.missionCycles.895,1,list,['895']
configurations.missionCycles.896,1,list,['896']
configurations.missionCycles.897,1,list,['897']
configurations.missionCycles.898,1,list,['898']
configurations.missionCycles.899,1,list,['899']
configurations.missionCycles.900,1,list,['900']
configurations.missionCycles.901,1,list,['901']
configurations.missionCycles.902,1,list,['902']
configurations.missionCycles.903,1,list,['903']
configurations.missionCycles.904,1,list,['904']
configurations.missionCycles.905,1,list,['905']
configurations.missionCycles.906,1,list,['906']
configurations.missionCycles.907,1,list,['907']
configurations.missionCycles.909,1,list,['909']
configurations.missionCycles.910,1,list,['910']
configurations.missionCycles.911,1,list,['911']
configurations.missionCycles.912,1,list,['912']
configurations.missionCycles.913,1,list,['913']
configurations.missionCycles.914,1,list,['914']
configurations.missionCycles.915,1,list,['915']
configurations.missionCycles.916,1,list,['916']
configurations.missionCycles.917,1,list,['917']
configurations.missionCycles.918,1,list,['918']
configurations.missionCycles.919,1,list,['919']
configurations.missionCycles.920,1,list,['920']
configurations.missionCycles.921,1,list,['921']
configurations.missionCycles.922,1,list,['922']
configurations.missionCycles.923,1,list,['923']
configurations.missionCycles.924,1,list,['924']
configurations.missionCycles.925,1,list,['925']
configurations.missionCycles.926,1,list,['926']
configurations.missionCycles.927,1,list,['927']
configurations.missionCycles.928,1,list,['928']
configurations.missionCycles.929,1,list,['929']
configurations.missionCycles.930,1,list,['930']
configurations.missionCycles.931,1,list,['931']
configurations.missionCycles.932,1,list,['932']
configurations.missionCycles.933,1,list,['933']
configurations.missionCycles.934,1,list,['934']
configurations.missionCycles.935,1,list,['935']
configurations.missionCycles.936,1,list,['936']
configurations.missionCycles.937,1,list,['937']
configurations.missionCycles.938,1,list,['938']
configurations.missionCycles.939,1,list,['939']
configurations.missionCycles.940,1,list,['940']
configurations.missionCycles.941,1,list,['941']
configurations.missionCycles.942,1,list,['942']
configurations.missionCycles.943,1,list,['943']
configurations.missionCycles.944,1,list,['944']
configurations.missionCycles.945,1,list,['945']
configurations.missionCycles.946,1,list,['946']
configurations.missionCycles.947,1,list,['947']
configurations.missionCycles.948,1,list,['948']
configurations.missionCycles.949,1,list,['949']
configurations.missionCycles.950,1,list,['950']
configurations.missionCycles.951,1,list,['951']
configurations.missionCycles.952,1,list,['952']
configurations.missionCycles.953,1,list,['953']
configurations.missionCycles.954,1,list,['954']
configurations.missionCycles.955,1,list,['955']
configurations.missionCycles.956,1,list,['956']
configurations.missionCycles.957,1,list,['957']
configurations.missionCycles.958,1,list,['958']
configurations.missionCycles.959,1,list,['959']
configurations.missionCycles.960,1,list,['960']
configurations.missionCycles.961,1,list,['961']
configurations.missionCycles.962,1,list,['962']
configurations.missionCycles.963,1,list,['963']
configurations.missionCycles.964,1,list,['964']
configurations.missionCycles.965,1,list,['965']
configurations.missionCycles.966,1,list,['966']
configurations.missionCycles.967,1,list,['967']
configurations.missionCycles.968,1,list,['968']
configurations.missionCycles.969,1,list,['969']
configurations.missionCycles.970,1,list,['970']
configurations.missionCycles.971,1,list,['971']
configurations.missionCycles.972,1,list,['972']
configurations.missionCycles.973,1,list,['973']
configurations.missionCycles.974,1,list,['974']
configurations.missionCycles.975,1,list,['975']
configurations.missionCycles.976,1,list,['976']
configurations.missionCycles.977,1,list,['977']
configurations.missionCycles.978,1,list,['978']
configurations.missionCycles.979,1,list,['979']
configurations.missionCycles.980,1,list,['980']
configurations.missionCycles.981,1,list,['981']
configurations.missionCycles.982,1,list,['982']
configurations.missionCycles.983,1,list,['983']
configurations.missionCycles.984,1,list,['984']
configurations.missionCycles.985,1,list,['985']
configurations.missionCycles.986,1,list,['986']
configurations.missionCycles.987,1,list,['987']
configurations.missionCycles.988,1,list,['988']
configurations.missionCycles.989,1,list,['989']
configurations.missionCycles.990,1,list,['990']
configurations.missionCycles.991,1,list,['991']
configurations.missionCycles.992,1,list,['992']
configurations.missionCycles.993,1,list,['993']
configurations.missionCycles.994,1,list,['994']
configurations.missionCycles.995,1,list,['995']
configurations.missionCycles.996,1,list,['996']
configurations.missionCycles.997,1,list,['997']
configurations.missionCycles.998,1,list,['998']
configurations.missionCycles.999,1,list,['999']
configurations.missionCycles.27476704,1,list,['0']
configurations.missionCycles.9982,1,list,['9982']
configurations.missionCycles.9983,1,list,['9983']
configurations.missionCycles.9986,1,list,['9986']
configurations.missionCycles.9987,1,list,['9987']
configurations.missionCycles.9984,1,list,['9984']
configurations.missionCycles.9985,1,list,['9985']
configurations.missionCycles.9993,1,list,['9993']
configurations.missionCycles.9994,1,list,['9994']
configurations.missionCycles.9991,1,list,['9991']
configurations.missionCycles.9992,1,list,['9992']
configurations.missionCycles.9995,1,list,['9995']
configurations.missionCycles.9990,1,list,['9990']
configurations.missionCycles.9988,1,list,['9988']
configurations.missionCycles.9989,1,list,['9989']
