DatasetID,Variable Name,Data Type,Value
ArgoFloats-synthetic-BGC,cndc_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,cndc_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,cndc_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,config_mission_number,['int'],[nan]
ArgoFloats-synthetic-BGC,cp660,['float'],[nan]
ArgoFloats-synthetic-BGC,cp660_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,cp660_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,cp660_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,cp660_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,cycle_number,['int'],[nan]
ArgoFloats-synthetic-BGC,data_centre,['String'],[nan]
ArgoFloats-synthetic-BGC,data_type,['String'],[nan]
ArgoFloats-synthetic-BGC,date_update,['double'],[nan]
ArgoFloats-synthetic-BGC,direction,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance380,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance380_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance380_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance380_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance380_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance412,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance412_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance412_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance412_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance412_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance443,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance443_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance443_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance443_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance443_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance490,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance490_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance490_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance490_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance490_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance555,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance555_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance555_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance555_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance555_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance665,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance665_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance665_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance665_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance665_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance670,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance670_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance670_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance670_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,down_irradiance670_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,downwelling_par,['float'],[nan]
ArgoFloats-synthetic-BGC,downwelling_par_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,downwelling_par_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,downwelling_par_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,downwelling_par_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy2,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy2_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy2_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy2_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy2_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy3,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy3_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy3_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy3_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy3_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,doxy_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,doxy_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,latitude,['double'],[nan]
ArgoFloats-synthetic-BGC,longitude,['double'],[nan]
ArgoFloats-synthetic-BGC,nitrate,['float'],[nan]
ArgoFloats-synthetic-BGC,nitrate_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,nitrate_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,nitrate_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,nitrate_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,ph_in_situ_total,['float'],[nan]
ArgoFloats-synthetic-BGC,ph_in_situ_total_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,ph_in_situ_total_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,ph_in_situ_total_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,ph_in_situ_total_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,pi_name,['String'],[nan]
ArgoFloats-synthetic-BGC,platform_number,['String'],[nan]
ArgoFloats-synthetic-BGC,platform_type,['String'],[nan]
ArgoFloats-synthetic-BGC,position_qc,['char'],[nan]
ArgoFloats-synthetic-BGC,pres,['float'],[nan]
ArgoFloats-synthetic-BGC,pres_adjusted,['float'],[nan]
ArgoFloats-synthetic-BGC,pres_adjusted_error,['float'],[nan]
ArgoFloats-synthetic-BGC,pres_adjusted_qc,['String'],[nan]
ArgoFloats-synthetic-BGC,pres_qc,['String'],[nan]
