datasetID,globalattributes
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,featureType
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,format_version
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lat_max
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lat_min
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lat_units
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lon_max
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lon_min
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_lon_units
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_vertical_max
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_vertical_min
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_vertical_positive
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,geospatial_vertical_units
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,history
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,id
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,infoUrl
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,institution
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,institution_edmo_code
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,institution_edmo_uri
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,keywords
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,keywords_vocabulary
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,license
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,license_uri
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,network
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,Northernmost_Northing
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,principal_investigator
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,principal_investigator_email
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,source
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,sourceUrl
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,Southernmost_Northing
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,standard_name_vocabulary
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,subsetVariables
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,summary
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,time_coverage_end
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,time_coverage_start
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,title
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,update_interval
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,Westernmost_Easting
E2M3A_METEO,cdm_data_type
E2M3A_METEO,cdm_timeseries_variables
E2M3A_METEO,Conventions
E2M3A_METEO,creator_email
E2M3A_METEO,creator_type
E2M3A_METEO,creator_url
E2M3A_METEO,data_mode
E2M3A_METEO,data_type
E2M3A_METEO,date_created
E2M3A_METEO,Easternmost_Easting
E2M3A_METEO,emso_facility
E2M3A_METEO,featureType
E2M3A_METEO,format_version
E2M3A_METEO,geospatial_lat_max
E2M3A_METEO,geospatial_lat_min
E2M3A_METEO,geospatial_lat_units
E2M3A_METEO,geospatial_lon_max
E2M3A_METEO,geospatial_lon_min
E2M3A_METEO,geospatial_lon_units
E2M3A_METEO,geospatial_vertical_max
E2M3A_METEO,geospatial_vertical_min
E2M3A_METEO,geospatial_vertical_positive
E2M3A_METEO,geospatial_vertical_units
E2M3A_METEO,history
E2M3A_METEO,id
E2M3A_METEO,infoUrl
E2M3A_METEO,institution
E2M3A_METEO,institution_edmo_code
E2M3A_METEO,institution_edmo_uri
E2M3A_METEO,keywords
E2M3A_METEO,keywords_vocabulary
E2M3A_METEO,license
E2M3A_METEO,license_uri
E2M3A_METEO,network
E2M3A_METEO,Northernmost_Northing
E2M3A_METEO,platform_code
E2M3A_METEO,principal_investigator
E2M3A_METEO,principal_investigator_email
E2M3A_METEO,sensor_label
E2M3A_METEO,sensor_serial_number
E2M3A_METEO,site_code
E2M3A_METEO,source
E2M3A_METEO,source_platform_category_code
E2M3A_METEO,sourceUrl
E2M3A_METEO,Southernmost_Northing
E2M3A_METEO,standard_name_vocabulary
E2M3A_METEO,summary
E2M3A_METEO,time_coverage_end
E2M3A_METEO,time_coverage_start
E2M3A_METEO,title
E2M3A_METEO,update_interval
E2M3A_METEO,Westernmost_Easting
E2M3A_METEO,wmo_platform_code
E2M3A_MRDT,cdm_data_type
E2M3A_MRDT,cdm_timeseries_variables
E2M3A_MRDT,Conventions
E2M3A_MRDT,creator_email
E2M3A_MRDT,creator_type
E2M3A_MRDT,creator_url
E2M3A_MRDT,data_mode
E2M3A_MRDT,data_type
E2M3A_MRDT,date_created
E2M3A_MRDT,Easternmost_Easting
E2M3A_MRDT,emso_facility
E2M3A_MRDT,featureType
E2M3A_MRDT,format_version
E2M3A_MRDT,geospatial_lat_max
E2M3A_MRDT,geospatial_lat_min
E2M3A_MRDT,geospatial_lat_units
E2M3A_MRDT,geospatial_lon_max
E2M3A_MRDT,geospatial_lon_min
E2M3A_MRDT,geospatial_lon_units
E2M3A_MRDT,geospatial_vertical_max
E2M3A_MRDT,geospatial_vertical_min
E2M3A_MRDT,geospatial_vertical_positive
E2M3A_MRDT,geospatial_vertical_units
E2M3A_MRDT,history
E2M3A_MRDT,id
E2M3A_MRDT,infoUrl
E2M3A_MRDT,institution
E2M3A_MRDT,institution_edmo_code
E2M3A_MRDT,institution_edmo_uri
E2M3A_MRDT,keywords
E2M3A_MRDT,keywords_vocabulary
E2M3A_MRDT,license
E2M3A_MRDT,license_uri
E2M3A_MRDT,network
E2M3A_MRDT,Northernmost_Northing
E2M3A_MRDT,platform_code
E2M3A_MRDT,principal_investigator
E2M3A_MRDT,principal_investigator_email
E2M3A_MRDT,sensor_label
E2M3A_MRDT,sensor_serial_number
E2M3A_MRDT,site_code
E2M3A_MRDT,source
E2M3A_MRDT,source_platform_category_code
E2M3A_MRDT,sourceUrl
E2M3A_MRDT,Southernmost_Northing
E2M3A_MRDT,standard_name_vocabulary
E2M3A_MRDT,summary
E2M3A_MRDT,time_coverage_end
E2M3A_MRDT,time_coverage_start
E2M3A_MRDT,title
E2M3A_MRDT,update_interval
E2M3A_MRDT,Westernmost_Easting
E2M3A_MRDT,wmo_platform_code
E2M3A_PCO2PROA,cdm_data_type
E2M3A_PCO2PROA,cdm_timeseries_variables
E2M3A_PCO2PROA,Conventions
E2M3A_PCO2PROA,creator_email
E2M3A_PCO2PROA,creator_type
E2M3A_PCO2PROA,creator_url
E2M3A_PCO2PROA,data_mode
E2M3A_PCO2PROA,data_type
E2M3A_PCO2PROA,date_created
E2M3A_PCO2PROA,Easternmost_Easting
E2M3A_PCO2PROA,emso_facility
E2M3A_PCO2PROA,featureType
E2M3A_PCO2PROA,format_version
E2M3A_PCO2PROA,geospatial_lat_max
E2M3A_PCO2PROA,geospatial_lat_min
E2M3A_PCO2PROA,geospatial_lat_units
E2M3A_PCO2PROA,geospatial_lon_max
E2M3A_PCO2PROA,geospatial_lon_min
E2M3A_PCO2PROA,geospatial_lon_units
E2M3A_PCO2PROA,geospatial_vertical_max
E2M3A_PCO2PROA,geospatial_vertical_min
E2M3A_PCO2PROA,geospatial_vertical_positive
E2M3A_PCO2PROA,geospatial_vertical_units
E2M3A_PCO2PROA,history
E2M3A_PCO2PROA,id
E2M3A_PCO2PROA,infoUrl
E2M3A_PCO2PROA,institution
E2M3A_PCO2PROA,institution_edmo_code
E2M3A_PCO2PROA,institution_edmo_uri
E2M3A_PCO2PROA,keywords
E2M3A_PCO2PROA,keywords_vocabulary
E2M3A_PCO2PROA,license
E2M3A_PCO2PROA,license_uri
E2M3A_PCO2PROA,network
E2M3A_PCO2PROA,Northernmost_Northing
E2M3A_PCO2PROA,platform_code
E2M3A_PCO2PROA,principal_investigator
E2M3A_PCO2PROA,principal_investigator_email
E2M3A_PCO2PROA,site_code
E2M3A_PCO2PROA,source
E2M3A_PCO2PROA,source_platform_category_code
E2M3A_PCO2PROA,sourceUrl
E2M3A_PCO2PROA,Southernmost_Northing
E2M3A_PCO2PROA,standard_name_vocabulary
E2M3A_PCO2PROA,summary
E2M3A_PCO2PROA,time_coverage_end
E2M3A_PCO2PROA,time_coverage_start
E2M3A_PCO2PROA,title
E2M3A_PCO2PROA,update_interval
E2M3A_PCO2PROA,Westernmost_Easting
E2M3A_PCO2PROA,wmo_platform_code
E2M3A_PCO2PROW,cdm_data_type
E2M3A_PCO2PROW,cdm_timeseries_variables
E2M3A_PCO2PROW,Conventions
E2M3A_PCO2PROW,creator_email
E2M3A_PCO2PROW,creator_type
E2M3A_PCO2PROW,creator_url
E2M3A_PCO2PROW,data_mode
E2M3A_PCO2PROW,data_type
E2M3A_PCO2PROW,date_created
E2M3A_PCO2PROW,Easternmost_Easting
E2M3A_PCO2PROW,emso_facility
E2M3A_PCO2PROW,featureType
E2M3A_PCO2PROW,format_version
E2M3A_PCO2PROW,geospatial_lat_max
E2M3A_PCO2PROW,geospatial_lat_min
E2M3A_PCO2PROW,geospatial_lat_units
E2M3A_PCO2PROW,geospatial_lon_max
