datasetID,variables
E2M3A_SBE16PLS,CNDC_QC
E2M3A_SBE16PLS,PRES
E2M3A_SBE16PLS,PRES_QC
E2M3A_SBE16PLS,DOX1
E2M3A_SBE16PLS,DOX1_QC
E2M3A_SBE16PLS,PSAL
E2M3A_SBE16PLS,PSAL_QC
E2M3A_SBE16PLS,SVEL
E2M3A_SBE16PLS,SVEL_QC
E2M3A_SBE37O,time
E2M3A_SBE37O,latitude
E2M3A_SBE37O,longitude
E2M3A_SBE37O,depth
E2M3A_SBE37O,rowSize
E2M3A_SBE37O,TEMP
E2M3A_SBE37O,TEMP_QC
E2M3A_SBE37O,CNDC
E2M3A_SBE37O,CNDC_QC
E2M3A_SBE37O,DOX1
E2M3A_SBE37O,DOX1_QC
E2M3A_SBE37O,PSAL
E2M3A_SBE37O,PSAL_QC
E2M3A_SBE37O,SVEL
E2M3A_SBE37O,SVEL_QC
E2M3A_CTD_meteo_CO2_pH_NRT,time
E2M3A_CTD_meteo_CO2_pH_NRT,latitude
E2M3A_CTD_meteo_CO2_pH_NRT,longitude
E2M3A_CTD_meteo_CO2_pH_NRT,depth
E2M3A_CTD_meteo_CO2_pH_NRT,rowSize
E2M3A_CTD_meteo_CO2_pH_NRT,CPWC
E2M3A_CTD_meteo_CO2_pH_NRT,CPWC_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TUR4
E2M3A_CTD_meteo_CO2_pH_NRT,TUR4_QC
E2M3A_CTD_meteo_CO2_pH_NRT,CDOM
E2M3A_CTD_meteo_CO2_pH_NRT,CDOM_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_1
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,WDIR
E2M3A_CTD_meteo_CO2_pH_NRT,WDIR_QC
E2M3A_CTD_meteo_CO2_pH_NRT,WSPD
E2M3A_CTD_meteo_CO2_pH_NRT,WSPD_QC
E2M3A_CTD_meteo_CO2_pH_NRT,DRYT
E2M3A_CTD_meteo_CO2_pH_NRT,DRYT_QC
E2M3A_CTD_meteo_CO2_pH_NRT,ATMS
E2M3A_CTD_meteo_CO2_pH_NRT,ATMS_QC
E2M3A_CTD_meteo_CO2_pH_NRT,RELH
E2M3A_CTD_meteo_CO2_pH_NRT,RELH_QC
E2M3A_CTD_meteo_CO2_pH_NRT,HEAD
E2M3A_CTD_meteo_CO2_pH_NRT,HEAD_QC
E2M3A_CTD_meteo_CO2_pH_NRT,EWSB
E2M3A_CTD_meteo_CO2_pH_NRT,EWSB_QC
E2M3A_CTD_meteo_CO2_pH_NRT,GSPD
E2M3A_CTD_meteo_CO2_pH_NRT,GSPD_QC
E2M3A_CTD_meteo_CO2_pH_NRT,GDIR
E2M3A_CTD_meteo_CO2_pH_NRT,GDIR_QC
E2M3A_CTD_meteo_CO2_pH_NRT,CSLR
E2M3A_CTD_meteo_CO2_pH_NRT,CSLR_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_1
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_2
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,LWRD
E2M3A_CTD_meteo_CO2_pH_NRT,LWRD_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PCO2_1
E2M3A_CTD_meteo_CO2_pH_NRT,PCO2_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_3
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_3_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PCO2_2
E2M3A_CTD_meteo_CO2_pH_NRT,PCO2_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_4
E2M3A_CTD_meteo_CO2_pH_NRT,TMES_4_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_1
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_1_QC
