DatasetID,Variable Name,Data Type,Value
SDC_GLO_CLIM_TS_V2_1,depth,['double'],"['nValues=45, evenlySpaced=false, averageSpacing=136.25']"
SDC_GLO_CLIM_TS_V2_1,latitude,['double'],"['nValues=641, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V2_1,longitude,['double'],"['nValues=1440, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V2_1,time,['double'],"['nValues=12, evenlySpaced=false, averageSpacing=30 days 8h 43m 38s']"
SDC_GLO_CLIM_TS_V2_2,depth,['double'],"['nValues=36, evenlySpaced=false, averageSpacing=54.142857142857146']"
SDC_GLO_CLIM_TS_V2_2,latitude,['double'],"['nValues=641, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V2_2,longitude,['double'],"['nValues=1440, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V2_2,time,['double'],"['nValues=12, evenlySpaced=false, averageSpacing=30 days 8h 43m 38s']"
SDC_MED_CLIM_TS_V1_m,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V1_m,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V1_m,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V1_m,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=522 days 16h 41m 44s']"
SDC_MED_CLIM_TS_V1_s,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V1_s,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V1_s,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V1_s,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=837 days 15h 39m 8s']"
SDC_MED_CLIM_TS_V2_m_pre_post_emt,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V2_m_pre_post_emt,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_m_pre_post_emt,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_m_pre_post_emt,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=522 days 16h 41m 44s']"
SDC_MED_CLIM_TS_V2_m_whole_period,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V2_m_whole_period,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_m_whole_period,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_m_whole_period,time,['double'],"['nValues=12, evenlySpaced=false, averageSpacing=30 days 8h 43m 38s']"
SDC_MED_CLIM_TS_V2_s_decades,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V2_s_decades,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_decades,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_decades,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=837 days 15h 39m 8s']"
SDC_MED_CLIM_TS_V2_s_pre_post_emt,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V2_s_pre_post_emt,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_pre_post_emt,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_pre_post_emt,time,['double'],"['nValues=8, evenlySpaced=false, averageSpacing=1708 days 17h 8m 34s']"
SDC_MED_CLIM_TS_V2_s_whole_period,depth,['double'],"['nValues=92, evenlySpaced=false, averageSpacing=49.45054945054945']"
SDC_MED_CLIM_TS_V2_s_whole_period,latitude,['double'],"['nValues=129, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_whole_period,longitude,['double'],"['nValues=367, evenlySpaced=true, averageSpacing=0.125']"
SDC_MED_CLIM_TS_V2_s_whole_period,time,['double'],"['nValues=4, evenlySpaced=false, averageSpacing=91 days']"
SDC_NAT_CLIM_TS_V1_025_m,depth,['float'],"['nValues=107, evenlySpaced=false, averageSpacing=-56.60377358490566']"
SDC_NAT_CLIM_TS_V1_025_m,latitude,['float'],"['nValues=209, evenlySpaced=true, averageSpacing=0.25']"
SDC_NAT_CLIM_TS_V1_025_m,longitude,['float'],"['nValues=389, evenlySpaced=true, averageSpacing=0.25']"
SDC_NAT_CLIM_TS_V1_025_m,time,['double'],"['nValues=72, evenlySpaced=false, averageSpacing=261 days 22h 18m 35s']"
SDC_NAT_CLIM_TS_V1_025_s,depth,['float'],"['nValues=107, evenlySpaced=false, averageSpacing=-56.60377358490566']"
