DatasetID,Variable Name,Data Type,Value
OS_ESTOC-C_199901_D_CTD,time,['double'],"['nValues=20567, evenlySpaced=false, averageSpacing=23m 27s']"
OS_ESTOC-C_200001_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200001_D_CTD,time,['double'],"['nValues=9207, evenlySpaced=false, averageSpacing=48m 29s']"
OS_ESTOC-C_200101_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200101_D_CTD,time,['double'],"['nValues=16164, evenlySpaced=false, averageSpacing=22m 59s']"
OS_ESTOC-C_200202_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200202_D_CTD,time,['double'],"['nValues=8771, evenlySpaced=false, averageSpacing=44m 20s']"
OS_ESTOC-C_200301_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200301_D_CTD,time,['double'],"['nValues=18607, evenlySpaced=false, averageSpacing=21m 26s']"
OS_ESTOC-C_200803_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200803_D_CTD,time,['double'],"['nValues=27923, evenlySpaced=false, averageSpacing=14m 20s']"
OS_ESTOC-C_200803_D_CTD-CHL,depth,['float'],"['nValues=1, onlyValue=0.0']"
OS_ESTOC-C_200803_D_CTD-CHL,time,['double'],"['nValues=27923, evenlySpaced=false, averageSpacing=14m 20s']"
OS_ESTOC-C_200803_D_CTD-DO,depth,['float'],"['nValues=1, onlyValue=0.0']"
OS_ESTOC-C_200803_D_CTD-DO,time,['double'],"['nValues=27923, evenlySpaced=false, averageSpacing=14m 20s']"
OS_ESTOC-C_200901_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_200901_D_CTD,time,['double'],"['nValues=14244, evenlySpaced=false, averageSpacing=29m 9s']"
OS_ESTOC-C_200901_D_CTD-CHL,depth,['float'],"['nValues=1, onlyValue=0.0']"
