DatasetID,Attribute Name,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,source_files,NC_GLOBAL,['String'],['sdeep08-2025-131-2-10-sbd(01450010)\\nsdeep08-2025-131-2-102-sbd(01450102)\\nsdeep08-2025-131-2-12-sbd(01450012)\\nsdeep08-2025-131-2-14-sbd(01450014)\\nsdeep08-2025-131-2-16-sbd(01450016)\\nsdeep08-2025-131-2-19-sbd(01450019)\\nsdeep08-2025-131-2-2-sbd(01450002)\\nsdeep08-2025-131-2-21-sbd(01450021)\\nsdeep08-2025-131-2-23-sbd(01450023)\\nsdeep08-2025-131-2-25-sbd(01450025)\\nsdeep08-2025-131-2-27-sbd(01450027)\\nsdeep08-2025-131-2-31-sbd(01450031)\\nsdeep08-2025-131-2-33-sbd(01450033)\\nsdeep08-2025-131-2-35-sbd(01450035)\\nsdeep08-2025-131-2-37-sbd(01450037)\\nsdeep08-2025-131-2-39-sbd(01450039)\\nsdeep08-2025-131-2-4-sbd(01450004)\\nsdeep08-2025-131-2-43-sbd(01450043)\\nsdeep08-2025-131-2-47-sbd(01450047)\\nsdeep08-2025-131-2-51-sbd(01450051)\\nsdeep08-2025-131-2-53-sbd(01450053)\\nsdeep08-2025-131-2-59-sbd(01450059)\\nsdeep08-2025-131-2-6-sbd(01450006)\\nsdeep08-2025-131-2-61-sbd(01450061)\\nsdeep08-2025-131-2-63-sbd(01450063)\\nsdeep08-2025-131-2-65-sbd(01450065)\\nsdeep08-2025-131-2-67-sbd(01450067)\\nsdeep08-2025-131-2-69-sbd(01450069)\\nsdeep08-2025-131-2-71-sbd(01450071)\\nsdeep08-2025-131-2-75-sbd(01450075)\\nsdeep08-2025-131-2-77-sbd(01450077)\\nsdeep08-2025-131-2-79-sbd(01450079)\\nsdeep08-2025-131-2-8-sbd(01450008)\\nsdeep08-2025-131-2-82-sbd(01450082)\\nsdeep08-2025-131-2-84-sbd(01450084)\\nsdeep08-2025-131-2-86-sbd(01450086)\\nsdeep08-2025-131-2-88-sbd(01450088)\\nsdeep08-2025-131-2-92-sbd(01450092)\\nsdeep08-2025-131-2-94-sbd(01450094)\\nsdeep08-2025-131-2-96-sbd(01450096)\\nsdeep08-2025-131-2-98-sbd(01450098)\\nsdeep08-2025-131-2-0-tbd(01450000)\\nsdeep08-2025-131-2-10-tbd(01450010)\\nsdeep08-2025-131-2-100-tbd(01450100)\\nsdeep08-2025-131-2-102-tbd(01450102)\\nsdeep08-2025-131-2-12-tbd(01450012)\\nsdeep08-2025-131-2-14-tbd(01450014)\\nsdeep08-2025-131-2-16-tbd(01450016)\\nsdeep08-2025-131-2-19-tbd(01450019)\\nsdeep08-2025-131-2-2-tbd(01450002)\\nsdeep08-2025-131-2-21-tbd(01450021)\\nsdeep08-2025-131-2-23-tbd(01450023)\\nsdeep08-2025-131-2-25-tbd(01450025)\\nsdeep08-2025-131-2-27-tbd(01450027)\\nsdeep08-2025-131-2-29-tbd(01450029)\\nsdeep08-2025-131-2-31-tbd(01450031)\\nsdeep08-2025-131-2-33-tbd(01450033)\\nsdeep08-2025-131-2-35-tbd(01450035)\\nsdeep08-2025-131-2-37-tbd(01450037)\\nsdeep08-2025-131-2-39-tbd(01450039)\\nsdeep08-2025-131-2-4-tbd(01450004)\\nsdeep08-2025-131-2-41-tbd(01450041)\\nsdeep08-2025-131-2-43-tbd(01450043)\\nsdeep08-2025-131-2-45-tbd(01450045)\\nsdeep08-2025-131-2-47-tbd(01450047)\\nsdeep08-2025-131-2-49-tbd(01450049)\\nsdeep08-2025-131-2-51-tbd(01450051)\\nsdeep08-2025-131-2-53-tbd(01450053)\\nsdeep08-2025-131-2-55-tbd(01450055)\\nsdeep08-2025-131-2-57-tbd(01450057)\\nsdeep08-2025-131-2-59-tbd(01450059)\\nsdeep08-2025-131-2-6-tbd(01450006)\\nsdeep08-2025-131-2-61-tbd(01450061)\\nsdeep08-2025-131-2-63-tbd(01450063)\\nsdeep08-2025-131-2-65-tbd(01450065)\\nsdeep08-2025-131-2-67-tbd(01450067)\\nsdeep08-2025-131-2-69-tbd(01450069)\\nsdeep08-2025-131-2-71-tbd(01450071)\\nsdeep08-2025-131-2-73-tbd(01450073)\\nsdeep08-2025-131-2-75-tbd(01450075)\\nsdeep08-2025-131-2-77-tbd(01450077)\\nsdeep08-2025-131-2-79-tbd(01450079)\\nsdeep08-2025-131-2-8-tbd(01450008)\\nsdeep08-2025-131-2-82-tbd(01450082)\\nsdeep08-2025-131-2-84-tbd(01450084)\\nsdeep08-2025-131-2-86-tbd(01450086)\\nsdeep08-2025-131-2-88-tbd(01450088)\\nsdeep08-2025-131-2-92-tbd(01450092)\\nsdeep08-2025-131-2-94-tbd(01450094)\\nsdeep08-2025-131-2-96-tbd(01450096)\\nsdeep08-2025-131-2-98-tbd(01450098)\\n']
OceanGlidersGDACTrajectories,standard_name,CHLA,['String'],['mass_concentration_of_chlorophyll_a_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,CHLA_QC,['String'],['qc_mass_concentration_of_chlorophyll_a_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,CHLA_UNCERTAINTY,['String'],['concentration_of_chlorophyll_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,CNDC,['String'],['sea_water_electrical_conductivity']
OceanGlidersGDACTrajectories,standard_name,CNDC_QC,['String'],['qc_sea_water_electrical_conductivity']
OceanGlidersGDACTrajectories,standard_name,JULD,['String'],['time']
OceanGlidersGDACTrajectories,standard_name,JULD_QC,['String'],['qc_time']
OceanGlidersGDACTrajectories,standard_name,MOLAR_DOXY,['String'],['mole_concentration_of_dissolved_molecular_oxygen_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,MOLAR_DOXY_QC,['String'],['qc_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,POSITION_QC,['String'],['position_qc']
OceanGlidersGDACTrajectories,standard_name,PRES,['String'],['sea_water_pressure']
OceanGlidersGDACTrajectories,standard_name,PRES_QC,['String'],['qc_sea_water_pressure']
OceanGlidersGDACTrajectories,standard_name,PSAL,['String'],['sea_water_practical_salinity']
OceanGlidersGDACTrajectories,standard_name,PSAL_QC,['String'],['qc_sea_water_salinity']
OceanGlidersGDACTrajectories,standard_name,TEMP,['String'],['sea_water_temperature']
OceanGlidersGDACTrajectories,standard_name,TEMP_DOXY,['String'],['temperature_of_sensor_for_oxygen_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,TEMP_DOXY_QC,['String'],['qc_temperature_of_sensor_for_oxygen_in_sea_water']
OceanGlidersGDACTrajectories,standard_name,TEMP_QC,['String'],['qc_sea_water_temperature']
OceanGlidersGDACTrajectories,standard_name,TIME_QC,['String'],['qc_time']
OceanGlidersGDACTrajectories,standard_name,latitude,['String'],['latitude']
OceanGlidersGDACTrajectories,standard_name,longitude,['String'],['longitude']
OceanGlidersGDACTrajectories,standard_name,time,['String'],['time']
OceanGlidersGDACTrajectories,standard_name_vocabulary,NC_GLOBAL,['String'],['CF Standard Name Table v29']
OceanGlidersGDACTrajectories,summary,NC_GLOBAL,['String'],['OceanGliders GDAC trajectories']
OceanGlidersGDACTrajectories,time_coverage_end,NC_GLOBAL,['String'],['2025-07-07T23:15:25Z']
OceanGlidersGDACTrajectories,time_coverage_start,NC_GLOBAL,['String'],['1970-01-01T00:00:00Z']
OceanGlidersGDACTrajectories,time_origin,JULD,['String'],['01-JAN-1970 00:00:00']
OceanGlidersGDACTrajectories,time_origin,time,['String'],['01-JAN-1970 00:00:00']
OceanGlidersGDACTrajectories,title,NC_GLOBAL,['String'],['OceanGliders GDAC trajectories']
OceanGlidersGDACTrajectories,transmission_system,NC_GLOBAL,['String'],['IRIDIUM']
OceanGlidersGDACTrajectories,units,CHLA,['String'],['mg/m3']
OceanGlidersGDACTrajectories,units,CHLA_UNCERTAINTY,['String'],['mg/m3']
OceanGlidersGDACTrajectories,units,CNDC,['String'],['mhos/m']
OceanGlidersGDACTrajectories,units,CNDC_UNCERTAINTY,['String'],['mhos/m']
OceanGlidersGDACTrajectories,units,JULD,['String'],['seconds since 1970-01-01T00:00:00Z']
OceanGlidersGDACTrajectories,units,MOLAR_DOXY,['String'],['micromole/l']
OceanGlidersGDACTrajectories,units,MOLAR_DOXY_UNCERTAINTY,['String'],['micromole/l']
OceanGlidersGDACTrajectories,units,PRES,['String'],['decibar']
OceanGlidersGDACTrajectories,units,PRES_UNCERTAINTY,['String'],['decibar']
OceanGlidersGDACTrajectories,units,PSAL,['String'],['PSU']
OceanGlidersGDACTrajectories,units,PSAL_UNCERTAINTY,['String'],['PSU']
OceanGlidersGDACTrajectories,units,TEMP,['String'],['degree_Celsius']
OceanGlidersGDACTrajectories,units,TEMP_DOXY,['String'],['degree_Celsius']
OceanGlidersGDACTrajectories,units,TEMP_DOXY_UNCERTAINTY,['String'],['degree_Celsius']
OceanGlidersGDACTrajectories,units,TEMP_UNCERTAINTY,['String'],['degree_Celsius']
OceanGlidersGDACTrajectories,units,latitude,['String'],['degrees_north']
OceanGlidersGDACTrajectories,units,longitude,['String'],['degrees_east']
OceanGlidersGDACTrajectories,units,time,['String'],['seconds since 1970-01-01T00:00:00Z']
OceanGlidersGDACTrajectories,update_interval,NC_GLOBAL,['String'],['daily']
OceanGlidersGDACTrajectories,valid_max,CHLA_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,CNDC,['float'],['8.5']
OceanGlidersGDACTrajectories,valid_max,CNDC_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,JULD,['double'],['90000.0']
